Team,G,MP,FG,FGA,FG_PCT,O_3P,3PA,3P_PCT,2P,2PA,2P_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,D_FG,D_FGA,D_FG_PCT,D_3P,D_3PA,D_3P_PCT,D_2P,D_2PA,D_2P_PCT,D_FT,D_FTA,D_FT_PCT,D_ORB,D_DRB,D_TRB,D_AST,D_STL,D_BLK,D_TOV,D_PF,D_PTS,NET_RTG,O_REL,D_REL
Atlanta Hawks,82,19855,42.6,91.6,0.465,13.6,37.3,0.364,29,54.3,0.535,18.4,23,0.797,12.4,31.9,44.2,26.3,7.4,4.5,13.4,18.4,117.2,44.2,89.3,0.495,13.9,36.1,0.384,30.3,53.2,0.57,17.1,21.6,0.792,10.5,33.3,43.8,27.9,7.7,5.6,14,19.3,119.4,-2.2,2,-4.2
Boston Celtics,82,19830,44.9,92.1,0.487,16.8,43.4,0.388,28,48.8,0.575,16.6,20.6,0.807,10.9,36.4,47.3,27.5,6.9,6.7,12.2,16.5,123.2,42.4,93.6,0.453,13.2,37.5,0.352,29.2,56.1,0.52,13.6,17.7,0.768,11.3,33,44.3,25.4,6.4,3.8,12.3,17.6,111.6,11.6,8,3.6
Brooklyn Nets,82,19805,41.7,91.4,0.456,13.6,37.6,0.362,28.1,53.7,0.522,16.2,21.4,0.756,11.7,33.4,45.2,26.3,7,5.3,13.5,19,113.2,42.6,90.7,0.47,13.3,35.8,0.372,29.3,54.9,0.534,17.5,21.7,0.807,10.5,34.9,45.4,26.1,7,5.1,12.9,18.7,116.1,-2.9,-2,-0.9
Charlotte Hornets,82,19730,41,89.2,0.46,12.4,34.9,0.355,28.7,54.3,0.528,14.9,18.9,0.786,9.6,31.7,41.3,25.4,7,4.6,14.1,18.4,109.3,44.5,89.9,0.494,14,37.1,0.377,30.5,52.9,0.577,16.9,21.2,0.796,10.8,35.7,46.5,29.5,7.3,5,14,17.9,119.8,-10.5,-5.9,-4.6
Chicago Bulls,82,19980,43,91.6,0.47,11.7,32.8,0.358,31.3,58.7,0.532,17.1,21.6,0.791,11.4,33.4,44.8,25.6,8,4.9,12.5,19.2,114.9,42,89,0.473,14.9,40.4,0.37,27.1,48.6,0.558,17.3,22.3,0.776,10.3,34,44.4,28.5,6.9,5,14.3,19.2,116.3,-1.4,-0.3,-1.1
Cleveland Cavaliers,82,19805,42.7,89.2,0.479,13.8,37.6,0.367,28.9,51.5,0.561,15.9,20.8,0.765,10.1,34.2,44.3,28.7,7.5,4.7,13.9,17.9,115.2,41.4,89.5,0.463,12.8,34.6,0.371,28.6,54.9,0.521,17,21.5,0.791,10.3,33.4,43.6,25.8,7.9,5.1,13.9,19.2,112.7,2.5,0,2.5
Dallas Mavericks,82,19705,43,89.5,0.481,14.6,39.5,0.369,28.5,50,0.569,17,22.4,0.758,9.7,33.2,42.9,25.6,6.9,4.9,12.5,18.3,117.6,42.9,90.2,0.475,13.1,35.6,0.368,29.8,54.7,0.545,16.6,21.6,0.77,10.9,34.1,45,27.5,7.3,4,13.7,20.3,115.4,2.2,2.4,-0.2
Denver Nuggets,82,19705,45.4,91.5,0.496,12,32.2,0.374,33.4,59.4,0.562,15.6,20.5,0.762,11.1,34.8,45.8,30.4,7.4,5.7,13,18.7,118.5,41.9,90.7,0.462,11.6,32.5,0.355,30.3,58.1,0.522,17.7,22.9,0.772,11.2,32.4,43.6,26.5,7.3,5,12.8,18.5,113,5.5,3.3,2.2
Detroit Pistons,82,19755,40.8,88.1,0.463,11,31.7,0.348,29.8,56.4,0.528,17,21.7,0.785,10.5,32.8,43.3,25.4,6.5,4.7,15.2,20.6,109.7,43.6,88.9,0.49,12.1,32.7,0.37,31.5,56.2,0.56,19.6,24.5,0.8,9.6,33.4,43.1,27,8.9,6,12.4,17.7,118.8,-9.1,-5.5,-3.6
Golden State Warriors,82,19830,43.7,91.7,0.477,14.8,38.9,0.38,28.9,52.8,0.548,15.6,20.1,0.78,12.2,34.6,46.7,29.3,7,4.6,14.3,19.5,117.8,42.1,90.5,0.466,13.3,37,0.359,28.9,53.5,0.539,17.7,22.4,0.788,10.9,32.1,42.9,26.7,7.7,5,13,17.9,115.2,2.6,2.6,0
Houston Rockets,82,19855,41.8,91.1,0.459,12.7,36.2,0.352,29.1,54.9,0.53,18.1,23.4,0.773,11.5,34,45.5,24.9,7.8,4.6,12.8,20.8,114.5,40.8,88.3,0.463,12.4,35.5,0.348,28.5,52.8,0.54,19.3,25.2,0.767,10.7,34.2,45,24.4,7.3,5.9,13.8,19.7,113.4,1.1,-0.7,1.8
Indiana Pacers,82,19705,46.1,91,0.507,13,34.6,0.374,33.2,56.4,0.589,15.8,20.2,0.782,9.9,30.9,40.8,30.2,7.6,5.8,12.7,21,121,43.7,88.1,0.496,10.5,28.8,0.365,33.2,59.3,0.56,20.1,25.5,0.787,10.8,31.8,42.6,24.2,6.5,5.3,13.7,18,118,3,5.8,-2.8
Los Angeles Clippers,82,19705,43.5,89,0.489,13,34.1,0.381,30.5,55,0.555,18.8,22.8,0.825,10.3,33.8,44.1,26.3,8,5.2,13.5,19,118.8,42.8,91.3,0.468,13.2,36.4,0.363,29.6,54.9,0.538,16.7,21.5,0.775,11.4,32,43.3,27.1,7.5,4.8,13.4,19.3,115.4,3.4,3.6,-0.2
Los Angeles Lakers,82,19855,42.9,86,0.499,11.6,30.8,0.377,31.3,55.2,0.567,18.6,23.8,0.782,8.1,34.2,42.3,28,7.2,5.4,13.7,15.4,115.9,43.6,92.1,0.474,14,37.2,0.376,29.6,54.8,0.54,14.1,17.7,0.795,10.7,32.6,43.3,27.7,8.1,4.7,13.2,19.4,115.3,0.6,0.7,-0.1
Memphis Grizzlies,82,19780,38.9,89.3,0.435,13.2,38.3,0.346,25.6,51.1,0.502,16.3,21.3,0.764,11.1,32.1,43.2,25,8.3,6.2,15.3,19.3,107.2,41.8,88.1,0.474,13.6,35.9,0.378,28.2,52.2,0.541,17.2,22.1,0.779,10.8,35.4,46.2,26.9,8.3,6.6,15.3,19,114.3,-7.1,-8,0.9
Miami Heat,82,19755,41.2,88.7,0.465,12.9,34.9,0.37,28.3,53.8,0.527,18.7,22.8,0.818,9.7,34.1,43.8,26.7,7.8,3.5,13.1,17.9,114,41.6,89.1,0.467,13.4,38.1,0.353,28.2,51,0.553,15.5,19.9,0.78,9.6,34.7,44.3,27.4,6.9,4.9,14.2,19.6,112.2,1.8,-1.2,3
Milwaukee Bucks,82,19805,42.9,88.1,0.487,14.1,37.9,0.373,28.8,50.2,0.574,18.4,23.8,0.774,9.4,34.6,43.9,26.4,6.8,5,12.8,19.1,118.4,43,91.4,0.47,12.5,35.1,0.356,30.5,56.3,0.541,17.3,21.4,0.807,10.2,33.5,43.8,26.3,7,4.2,12,19.1,115.8,2.6,3.2,-0.6
Minnesota Timberwolves,82,19805,42.2,87,0.485,12.9,33.5,0.387,29.3,53.6,0.546,18.2,23.5,0.777,9.6,35,44.6,27.3,8.1,6.2,14.5,19.3,115.6,39.9,88.8,0.45,11.7,33,0.354,28.2,55.8,0.506,17.5,22.4,0.781,10.5,31.9,42.4,25.1,7.7,4.6,14.5,20.3,109,6.6,0.4,6.2
New Orleans Pelicans,82,19705,43.3,89.1,0.486,12.7,33.3,0.383,30.6,55.9,0.548,18,23.3,0.771,10.6,34.2,44.8,27.5,8.5,4.7,13.3,18.8,117.4,41.3,89,0.464,13.8,39.5,0.349,27.5,49.5,0.555,16.6,21.1,0.783,10.3,32.9,43.2,27.3,6.7,5.3,14.5,18.7,112.9,4.5,2.2,2.3
New York Knicks,82,19730,43.3,92.9,0.465,13.8,37.5,0.369,29.4,55.4,0.531,17.8,22.9,0.78,13.3,34.1,47.3,25.5,7.8,4.3,13.9,18.5,118.2,42.2,89.8,0.47,13.1,35.9,0.365,29.1,53.8,0.54,15.8,20.7,0.764,10.7,31.8,42.6,26.8,7.1,5.5,13.8,20,113.4,4.8,3,1.8
Oklahoma City Thunder,82,19805,44.3,88.9,0.499,13.2,34,0.389,31.1,54.9,0.567,17.6,21.4,0.825,8.8,33.1,41.8,27,8.4,6.5,12.6,18.8,119.5,40.4,88.9,0.455,13.4,37,0.361,27,51.8,0.522,18,22.8,0.789,11.7,32.7,44.5,26.8,7.1,5.1,15.6,18.8,112.1,7.4,4.3,3.1
Orlando Magic,82,19780,41.5,87.2,0.476,11.3,32.1,0.352,30.2,55,0.549,19,25.1,0.759,10.8,32.6,43.4,25.3,8.4,5.3,15.1,20.3,113.4,40.9,86.2,0.474,11.8,33,0.358,29,53.2,0.546,17.8,22.8,0.78,9.1,31.8,40.9,24.5,8.3,4.7,15.4,21.4,111.3,2.1,-1.8,3.9
Philadelphia 76ers,82,19780,42.3,91.2,0.464,12.3,34,0.363,30,57.2,0.525,19.9,24.1,0.826,11.3,32.5,43.8,25.4,8.6,6.1,12.2,20.7,116.9,41.3,88.3,0.468,12.2,34.4,0.354,29.1,53.9,0.541,19,24,0.791,11.2,34.1,45.3,26.7,6.3,6.3,14.9,18.9,113.8,3.1,1.7,1.4
Phoenix Suns,82,19780,43,87.2,0.493,12.6,33,0.382,30.4,54.2,0.561,19.1,23.6,0.808,10.3,34.3,44.6,27.4,7.5,6.1,15.1,18.2,117.6,42.5,91.7,0.464,13.3,36.4,0.364,29.3,55.3,0.529,16.3,21,0.774,11.1,30.7,41.8,26.6,8.5,4.6,12.9,19.9,114.6,3,2.4,0.6
Portland Trail Blazers,82,19880,40.1,91.3,0.439,11.7,33.8,0.345,28.4,57.5,0.494,16.5,20.9,0.791,12.9,30.7,43.5,23.5,7.8,4.4,15.5,20.5,108.3,43.3,88.2,0.491,11.9,33.9,0.351,31.4,54.3,0.578,19.1,24.1,0.792,10.8,33.9,44.6,27.6,9.1,6.6,14.6,18.2,117.5,-9.2,-6.9,-2.3
Sacramento Kings,82,19855,43.5,91.2,0.477,14.4,39.4,0.366,29,51.8,0.561,15.6,20.9,0.745,10.9,33.3,44.1,28.4,7.6,4.2,13.2,20,116.9,41.8,87,0.48,13.1,33.9,0.387,28.6,53.1,0.539,18.5,23.1,0.8,9.1,33.5,42.7,27,7.4,4.5,13.9,18.4,115.2,1.7,1.7,0
San Antonio Spurs,82,19830,41.2,89,0.462,12.4,35.7,0.347,28.8,53.3,0.539,15.3,19.6,0.782,10.2,33.3,43.4,29.3,7,6.2,14.9,16.9,110,44.1,90.6,0.487,12.4,33.4,0.373,31.6,57.2,0.553,15.8,20.1,0.784,10.3,34.2,44.5,27.5,8.8,4.5,13.1,17.6,116.4,-6.4,-5.2,-1.2
Toronto Raptors,82,19805,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.6,28.5,7.7,4.7,14,18.4,112.3,44.7,91.1,0.491,13.7,36.3,0.376,31.1,54.8,0.567,15.6,19.8,0.789,11.2,34,45.2,28.6,7.3,5.8,13.9,18.1,118.8,-6.5,-2.9,-3.6
Utah Jazz,82,19805,41.9,89.8,0.467,12.9,36.5,0.354,29,53.3,0.544,18.7,22.6,0.83,12.2,33.2,45.4,27.2,6.5,5.6,15.7,18.6,115.5,44.5,91.5,0.487,14.8,37.4,0.395,29.7,54.1,0.55,16.6,21.5,0.771,11,31.2,42.2,29.7,8.6,6.4,12.3,19.2,120.4,-4.9,0.3,-5.2
Washington Wizards,82,19730,41.7,88.8,0.47,12,34.5,0.348,29.7,54.2,0.548,15,19.6,0.764,8.9,31,39.9,27.1,7.4,4.9,13.6,19.4,110.5,44.8,90.3,0.496,11.9,33,0.362,32.8,57.3,0.573,18.1,23.3,0.777,11.8,35.8,47.6,28.2,7.8,5.9,13.7,17.5,119.6,-9.1,-4.7,-4.4
